source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
tail,2026-04-28,561910,电池ETF,TAIL_2STAR,53.0,,2,,,,,,,,,False,今日跌-1.9%（轻度回调）; 回踩MA5支撑（偏离-1.0%）; RSI(6)=38（偏低区间）; MA60趋势向上（+0.63%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,0.913,0.966,0.998,0.968,0.948,0.05805,0.0931,0.060241,0.038335,0.09529,-0.009858,0.010958,0.024984,0.023896,0.021306,0.047092,0.068115,0.036345,0.017029,,complete
tail,2026-04-28,512400,有色金属ETF,TAIL_1STAR,49.0,,1,,,,,,,,,False,今日下跌-2.5%（恐惧情绪）; 跌破MA20下方（-2.4%，或超跌机会）; RSI(6)=11（极度超卖）; 触及近期支撑低点区域,MA60偏弱（-0.47%/5日），中期趋势存隐患,market_panic=False,2.043,2.14,2.199,2.206,2.039,0.047479,0.076358,0.079785,-0.001958,0.100832,-0.008811,0.010958,0.024984,0.023896,0.021306,0.036521,0.051374,0.055889,-0.023264,,complete
tail,2026-04-28,518880,黄金ETF,TAIL_1STAR,48.0,,1,,,,,,,,,False,今日跌-1.7%（轻度回调）; 回踩MA5支撑（偏离-1.4%）; RSI(6)=17（极度超卖）; 触及近期支撑低点区域,MA60偏弱（-0.33%/5日），中期趋势存隐患,market_panic=False,9.732,9.637,9.791,9.88,9.554,-0.009762,0.006062,0.015208,-0.01829,0.020654,-0.020551,0.010958,0.024984,0.023896,0.021306,-0.02072,-0.018922,-0.008688,-0.039597,,complete
tail,2026-04-28,513180,恒生科技ETF,TAIL_1STAR,46.0,,1,,,,,,,,,False,今日跌-1.7%（轻度回调）; 回踩MA20支撑（偏离-0.7%）; RSI(6)=17（极度超卖）; 触及近期支撑低点区域,MA60趋势下行（-1.60%/5日），谨防下跌趋势接刀,market_panic=False,0.621,0.628,0.636,0.653,0.629,0.011272,0.024155,0.05153,0.012882,0.074074,-0.00161,0.010958,0.024984,0.023896,0.021306,0.000314,-0.00083,0.027634,-0.008424,,complete
tail,2026-04-28,159567,港股创新药ETF,TAIL_1STAR,41.0,,1,,,,,,,,,False,今日跌-1.1%（轻度回调）; MA60长期支撑附近（-1.0%）; RSI(6)=8（极度超卖）; 触及近期支撑低点区域,深跌MA20 -4.7%，需确认止跌信号; MA60偏弱（-0.29%/5日），中期趋势存隐患,market_panic=False,0.756,0.754,0.746,0.75,0.699,-0.002646,-0.013228,-0.007937,-0.075397,0.018519,-0.082011,0.010958,0.024984,0.023896,0.021306,-0.013603,-0.038212,-0.031832,-0.096703,,complete
tail,2026-04-28,159206,卫星ETF,TAIL_1STAR,40.0,,1,,,,,,,,,False,今日下跌-2.2%（恐惧情绪）; MA60长期支撑附近（+0.5%）; RSI(6)=13（极度超卖）; 触及近期支撑低点区域,MA60趋势下行（-0.61%/5日），谨防下跌趋势接刀,market_panic=False,1.78,1.784,1.912,1.979,1.836,0.002247,0.074157,0.111798,0.031461,0.147753,-0.011236,0.010958,0.024984,0.023896,0.021306,-0.008711,0.049173,0.087902,0.010154,,complete
tail,2026-04-28,510500,中证500ETF,TAIL_1STAR,39.0,,1,,,,,,,,,False,今日跌-1.1%（轻度回调）; 回踩MA5支撑（偏离-1.0%）; MA60长期支撑附近（+0.6%）; 触及近期支撑低点区域,,market_panic=False,8.273,8.422,8.658,8.769,8.612,0.01801,0.046537,0.059954,0.040977,0.093799,-0.004714,0.010958,0.024984,0.023896,0.021306,0.007052,0.021553,0.036059,0.01967,,complete
tail,2026-04-28,159915,创业板ETF,TAIL_1STAR,35.0,,1,,,,,,,,,False,今日跌-1.4%（轻度回调）; RSI(6)=33（偏低区间）; MA60趋势向上（+0.95%/5日），回调低吸; 触及近期支撑低点区域,连续4日调整，注意是否止跌企稳,market_panic=False,3.602,3.694,3.786,3.806,3.97,0.025541,0.051083,0.056635,0.102165,0.139367,-0.006663,0.010958,0.024984,0.023896,0.021306,0.014583,0.026099,0.03274,0.080859,,complete
tail,2026-04-28,159667,工业母机ETF,TAIL_1STAR,34.0,,1,,,,,,,,,False,今日下跌-2.3%（恐惧情绪）; MA60趋势向上（+0.95%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.955,2.024,2.092,2.226,2.289,0.035294,0.070077,0.138619,0.170844,0.203069,-0.012788,0.010958,0.024984,0.023896,0.021306,0.024336,0.045093,0.114723,0.149538,,complete
tail,2026-04-28,515880,通信ETF,TAIL_1STAR,34.0,,1,,,,,,,,,False,今日下跌-2.1%（恐惧情绪）; MA60趋势向上（+2.46%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.327,1.328,1.352,1.43,1.5,0.000754,0.018839,0.077619,0.130369,0.198191,-0.020347,0.010958,0.024984,0.023896,0.021306,-0.010204,-0.006145,0.053723,0.109063,,complete
