source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
main,2026-04-20,159206,卫星ETF,REDUCE,65.3,B,,R2,,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.883,1.885,1.867,1.82,,0.001062,-0.008497,-0.033457,,0.015932,-0.065321,0.00222,0.006073,0.00284,,-0.001158,-0.01457,-0.036297,,True,pending
main,2026-04-20,159326,电网设备ETF,REDUCE,62.5,B,,R2,,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.982,1.96,2.017,1.983,,-0.0111,0.017659,0.000505,,0.036327,-0.028759,0.00222,0.006073,0.00284,,-0.01332,0.011586,-0.002335,,False,pending
main,2026-04-20,159995,芯片ETF,AVOID,52.6,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.881,1.854,1.879,2.006,,-0.014354,-0.001063,0.066454,,0.083466,-0.028177,0.00222,0.006073,0.00284,,-0.016574,-0.007136,0.063614,,True,pending
main,2026-04-20,561980,芯片设备ETF,AVOID,52.4,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,2.313,2.269,2.31,2.499,,-0.019023,-0.001297,0.080415,,0.110679,-0.027237,0.00222,0.006073,0.00284,,-0.021243,-0.00737,0.077575,,True,pending
main,2026-04-20,562500,机器人ETF,AVOID,50.8,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.017,1.014,1.013,1.033,,-0.00295,-0.003933,0.015733,,0.018682,-0.022616,0.00222,0.006073,0.00284,,-0.00517,-0.010006,0.012893,,True,pending
main,2026-04-20,588000,科创50ETF,AVOID,50.6,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.527,1.504,1.508,1.591,,-0.015062,-0.012443,0.041912,,0.053045,-0.023576,0.00222,0.006073,0.00284,,-0.017282,-0.018515,0.039072,,True,pending
main,2026-04-20,159667,工业母机ETF,AVOID,50.1,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.962,1.975,1.994,2.001,,0.006626,0.01631,0.019878,,0.034149,-0.01631,0.00222,0.006073,0.00284,,0.004406,0.010237,0.017038,,True,pending
main,2026-04-20,515880,通信ETF,AVOID,50.1,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.342,1.338,1.396,1.355,,-0.002981,0.040238,0.009687,,0.067064,-0.031297,0.00222,0.006073,0.00284,,-0.0052,0.034166,0.006847,,True,pending
main,2026-04-20,562960,绿色电力ETF,AVOID,48.2,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.203,1.22,1.238,1.211,,0.014131,0.029094,0.00665,,0.031588,-0.010806,0.00222,0.006073,0.00284,,0.011912,0.023021,0.00381,,True,pending
main,2026-04-20,159611,电力ETF,AVOID,46.5,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.109,1.123,1.142,1.116,,0.012624,0.029757,0.006312,,0.032462,-0.009017,0.00222,0.006073,0.00284,,0.010404,0.023684,0.003472,,True,pending
main,2026-04-20,159715,稀土ETF,AVOID,46.3,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.351,1.35,1.3,1.3,,-0.00074,-0.03775,-0.03775,,0.005181,-0.061436,0.00222,0.006073,0.00284,,-0.00296,-0.043822,-0.04059,,True,pending
main,2026-04-20,515450,红利低波50,AVOID,45.7,C,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.423,1.437,1.439,1.433,,0.009838,0.011244,0.007027,,0.018974,0.0,0.00222,0.006073,0.00284,,0.007619,0.005171,0.004188,,True,pending
main,2026-04-20,159870,化工ETF,AVOID,28.9,D,,R2,,0,0,,,,,,,,政策/综合评分不足，禁止配置,0.897,0.909,0.897,0.926,,0.013378,0.0,0.03233,,0.070234,-0.020067,0.00222,0.006073,0.00284,,0.011158,-0.006073,0.02949,,True,pending
main,2026-04-21,159206,卫星ETF,REDUCE,65.3,B,,R2,WARM,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.885,1.89,1.806,1.78,,0.002653,-0.04191,-0.055703,,0.014854,-0.066313,0.006634,0.000287,-0.002053,,-0.003981,-0.042197,-0.05365,,True,pending
main,2026-04-21,159326,电网设备ETF,REDUCE,61.0,B,,R2,WARM,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.96,2.014,1.984,1.943,,0.027551,0.012245,-0.008673,,0.047959,-0.017857,0.006634,0.000287,-0.002053,,0.020917,0.011958,-0.00662,,False,pending
main,2026-04-21,562500,机器人ETF,REDUCE,58.5,B,,R2,WARM,0,6.0,,,,,,,,当前机制R2不支持B级品种,1.014,1.022,1.006,1.012,,0.00789,-0.00789,-0.001972,,0.021696,-0.019724,0.006634,0.000287,-0.002053,,0.001256,-0.008177,8.1e-05,,False,pending
main,2026-04-21,515450,红利低波50,AVOID,51.8,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.437,1.43,1.439,1.441,,-0.004871,0.001392,0.002784,,0.009047,-0.006263,0.006634,0.000287,-0.002053,,-0.011505,0.001104,0.004837,,True,pending
main,2026-04-21,159667,工业母机ETF,AVOID,51.6,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.975,2.012,1.981,1.955,,0.018734,0.003038,-0.010127,,0.027342,-0.022785,0.006634,0.000287,-0.002053,,0.0121,0.002751,-0.008073,,True,pending
main,2026-04-21,159715,稀土ETF,AVOID,50.9,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.35,1.355,1.3,1.272,,0.003704,-0.037037,-0.057778,,0.005926,-0.060741,0.006634,0.000287,-0.002053,,-0.00293,-0.037324,-0.055725,,True,pending
main,2026-04-21,588000,科创50ETF,AVOID,50.6,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.504,1.529,1.531,1.568,,0.016622,0.017952,0.042553,,0.069149,-0.007314,0.006634,0.000287,-0.002053,,0.009989,0.017665,0.044606,,True,pending
main,2026-04-21,515880,通信ETF,AVOID,50.1,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.338,1.413,1.339,1.327,,0.056054,0.000747,-0.008221,,0.070254,-0.028401,0.006634,0.000287,-0.002053,,0.04942,0.00046,-0.006168,,True,pending
main,2026-04-21,159611,电力ETF,AVOID,49.6,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.123,1.12,1.123,1.123,,-0.002671,0.0,0.0,,0.01959,-0.016919,0.006634,0.000287,-0.002053,,-0.009305,-0.000287,0.002053,,True,pending
main,2026-04-21,562960,绿色电力ETF,AVOID,48.2,C,,R2,WARM,0,0,,,,,,,,政策/综合评分不足，禁止配置,1.22,1.219,1.219,1.217,,-0.00082,-0.00082,-0.002459,,0.017213,-0.019672,0.006634,0.000287,-0.002053,,-0.007453,-0.001107,-0.000406,,True,pending
