source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
tail,2026-04-21,159995,芯片ETF,TAIL_1STAR,39.0,,1,,,,,,,,,False,今日跌-1.5%（轻度回调）; 回踩MA5支撑（偏离+0.3%）; MA60长期支撑附近（+0.3%）; 触及近期支撑低点区域,,market_panic=False,1.854,1.904,1.912,1.98,2.173,0.026969,0.031284,0.067961,0.17206,0.229773,-0.007551,0.006634,0.000287,-0.002053,0.021793,0.020335,0.030996,0.070014,0.150267,,complete
tail,2026-04-21,561980,芯片设备ETF,TAIL_1STAR,39.0,,1,,,,,,,,,False,今日跌-2.0%（轻度回调）; 回踩MA5支撑（偏离-0.8%）; MA60长期支撑附近（+1.0%）; 触及近期支撑低点区域,,market_panic=False,2.269,2.332,2.354,2.495,2.668,0.027766,0.037461,0.099603,0.175848,0.254738,-0.006611,0.006634,0.000287,-0.002053,0.021793,0.021132,0.037174,0.101657,0.154055,,complete
tail,2026-04-21,588000,科创50ETF,TAIL_1STAR,31.0,,1,,,,,,,,,False,今日跌-1.6%（轻度回调）; 回踩MA5支撑（偏离+0.1%）; 触及近期支撑低点区域,,market_panic=False,1.504,1.529,1.531,1.568,1.727,0.016622,0.017952,0.042553,0.148271,0.204787,-0.007314,0.006634,0.000287,-0.002053,0.021793,0.009989,0.017665,0.044606,0.126478,,complete
tail,2026-04-22,515450,红利低波50,TAIL_1STAR,38.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.1%）; MA60长期支撑附近（+0.3%）; 触及近期支撑低点区域,,market_panic=False,1.43,1.439,1.433,1.445,1.437,0.006294,0.002098,0.01049,0.004895,0.013986,-0.004895,-0.002771,-0.005975,0.002234,0.031713,0.009065,0.008073,0.008256,-0.026818,,complete
tail,2026-04-24,518880,黄金ETF,TAIL_2STAR,52.0,,2,,,,,,,,,False,回踩MA20支撑（偏离-0.8%）; RSI(6)=3（极度超卖）; 触及近期支撑低点区域,,market_panic=False,9.826,9.897,9.637,9.791,,0.007226,-0.019235,-0.003562,,0.010889,-0.025036,0.000331,0.008592,0.022586,,0.006894,-0.027827,-0.026148,,,pending
tail,2026-04-24,515850,证券ETF,TAIL_1STAR,48.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.3%）; RSI(6)=23（超卖区）; 触及近期支撑低点区域,,market_panic=False,1.31,1.311,1.333,1.356,,0.000763,0.017557,0.035115,,0.052672,-0.001527,0.000331,0.008592,0.022586,,0.000432,0.008965,0.012529,,,pending
tail,2026-04-24,513180,恒生科技ETF,TAIL_1STAR,48.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.6%）; RSI(6)=25（超卖区）; 触及近期支撑低点区域,,market_panic=False,0.628,0.632,0.628,0.636,,0.006369,0.0,0.012739,,0.042994,-0.015924,0.000331,0.008592,0.022586,,0.006038,-0.008592,-0.009847,,,pending
tail,2026-04-24,600036,招商银行,TAIL_1STAR,44.0,,1,,,,,,,,,False,今日跌-1.1%（轻度回调）; 回踩MA20支撑（偏离-0.4%）; MA60长期支撑附近（+0.5%）; 触及近期支撑低点区域,,market_panic=False,39.38,39.38,38.5,38.0,,0.0,-0.022346,-0.035043,,0.01549,-0.042661,0.000331,0.008592,0.022586,,-0.000331,-0.030939,-0.057629,,,pending
tail,2026-04-24,600900,长江电力,TAIL_1STAR,38.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.3%）; MA60长期支撑附近（+0.7%）; 触及近期支撑低点区域,,market_panic=False,26.81,26.66,26.77,27.2,,-0.005595,-0.001492,0.014547,,0.022753,-0.007833,0.000331,0.008592,0.022586,,-0.005926,-0.010084,-0.008039,,,pending
tail,2026-04-24,515790,光伏ETF,TAIL_1STAR,34.0,,1,,,,,,,,,False,今日跌-1.5%（轻度回调）; MA60长期支撑附近（-3.3%）; RSI(6)=40（偏低区间）; 触及近期支撑低点区域,,market_panic=False,1.062,1.053,1.059,1.086,,-0.008475,-0.002825,0.022599,,0.06968,-0.037665,0.000331,0.008592,0.022586,,-0.008806,-0.011417,1.3e-05,,,pending
