source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
stock,2026-04-24,002594,比亚迪,REDUCE,-2,,,,,0,-2.85,电动车/刀片电池,new_energy,core,★★★,,,,跌破20线; 绿柱扩张,99.46,102.34,105.4,,,0.028956,0.059723,,,0.062136,0.004223,0.000331,0.008592,,,0.028625,0.05113,,,True,pending
stock,2026-04-24,601012,隆基绿能,REDUCE,-2,,,,,0,-0.4,光伏组件,new_energy,watch,★☆☆,,,,跌破60线,17.39,17.14,16.55,,,-0.014376,-0.048304,,,0.0023,-0.090282,0.000331,0.008592,,,-0.014707,-0.056896,,,True,pending
stock,2026-04-24,002714,牧原股份,REDUCE,-2,,,,,0,-2.41,生猪养殖,agriculture,candidate,★★☆,,,,跌破60线,43.14,42.26,44.62,,,-0.020399,0.034307,,,0.052156,-0.023644,0.000331,0.008592,,,-0.02073,0.025715,,,True,pending
stock,2026-04-24,601318,中国平安,REDUCE,-2,,,,,0,-0.26,保险/金融科技,finance,candidate,★★☆,,,,跌破60线,57.78,57.55,59.43,,,-0.003981,0.028557,,,0.031326,-0.010038,0.000331,0.008592,,,-0.004312,0.019964,,,True,pending
stock,2026-04-24,300394,天孚通信,REDUCE,-3,,,,,0,-5.37,光通信器件,optics,core,★★☆,,,,跌破20线; MACD死叉,323.87,322.25,311.09,,,-0.005002,-0.03946,,,0.028159,-0.058264,0.000331,0.008592,,,-0.005333,-0.048053,,,True,pending
stock,2026-04-24,300274,阳光电源,REDUCE,-3,,,,,0,-1.32,逆变器,new_energy,core,★★★,,,,跌破60线; 缩量0.6x,133.79,131.39,138.07,,,-0.017939,0.03199,,,0.038045,-0.06712,0.000331,0.008592,,,-0.01827,0.023398,,,True,pending
stock,2026-04-24,600276,恒瑞医药,REDUCE,-3,,,,,0,-0.64,创新药,pharma,watch,★☆☆,,,,跌破60线; 绿柱扩张,56.05,55.38,54.99,,,-0.011954,-0.018912,,,0.023194,-0.033006,0.000331,0.008592,,,-0.012285,-0.027504,,,True,pending
stock,2026-04-24,603993,洛阳钼业,REDUCE,-3,,,,,0,2.27,铜/钴矿,commodity,core,★★★,,,,跌破60线; RSI偏高71,19.37,19.0,19.19,,,-0.019102,-0.009293,,,0.002065,-0.061951,0.000331,0.008592,,,-0.019433,-0.017885,,,True,pending
stock,2026-04-24,600438,通威股份,REDUCE,-3,,,,,0,4.2,光伏电池/硅料,new_energy,candidate,★★☆,,,,跌破60线; RSI偏高73,17.85,17.62,17.33,,,-0.012885,-0.029132,,,0.002801,-0.058263,0.000331,0.008592,,,-0.013216,-0.037724,,,True,pending
stock,2026-04-24,600030,中信证券,REDUCE,-3,,,,,0,3.43,综合券商,finance,candidate,★★☆,,,,跌破60线; RSI偏高73,26.23,26.77,27.32,,,0.020587,0.041555,,,0.054136,0.006481,0.000331,0.008592,,,0.020256,0.032963,,,False,pending
stock,2026-04-24,600519,贵州茅台,BUY_WATCH,3,,,,,4,1.19,高端白酒,consumer,core,★★★,,,,站20/60线; 放量1.6x,1458.49,1403.2,1401.17,,,-0.037909,-0.039301,,,-0.02639,-0.040028,0.000331,0.008592,,,-0.03824,-0.047893,,,True,pending
stock,2026-04-24,600309,万华化学,BUY_WATCH,3,,,,,4,3.55,MDI/聚氨酯,chemical,core,★★★,,,,多头排列; 红柱扩张; RSI偏高69,89.54,88.97,90.35,,,-0.006366,0.009046,,,0.015412,-0.012732,0.000331,0.008592,,,-0.006697,0.000454,,,False,pending
stock,2026-04-24,002028,思源电气,BUY_WATCH,3,,,,,4,5.0,特高压/变电设备,power_equip,core,★★★,,,,多头排列,222.13,207.48,196.86,,,-0.065952,-0.113762,,,-0.029982,-0.129024,0.000331,0.008592,,,-0.066284,-0.122355,,,True,pending
stock,2026-04-24,300502,新易盛,HOLD,2,,,,,0,4.42,光模块,optics,core,★★★,,,,站20/60线,537.27,538.0,537.0,,,0.001359,-0.000503,,,0.029278,-0.037709,0.000331,0.008592,,,0.001027,-0.009095,,,False,pending
stock,2026-04-24,300750,宁德时代,HOLD,2,,,,,0,5.0,动力电池,battery,core,★★★,,,,多头排列; RSI偏高76,444.9,434.88,445.0,,,-0.022522,0.000225,,,0.008676,-0.049225,0.000331,0.008592,,,-0.022853,-0.008368,,,False,pending
stock,2026-04-24,600426,华鲁恒升,HOLD,2,,,,,0,2.58,煤化工/化肥,chemical,candidate,★★☆,,,,MACD金叉,37.62,37.94,39.19,,,0.008506,0.041733,,,0.054226,-0.015152,0.000331,0.008592,,,0.008175,0.033141,,,False,pending
stock,2026-04-24,000338,潍柴动力,HOLD,2,,,,,0,5.0,重型发动机/氢燃料,machinery,candidate,★★☆,,,,多头排列; 红柱扩张; RSI偏高71,29.59,29.66,30.15,,,0.002366,0.018925,,,0.037175,-0.002028,0.000331,0.008592,,,0.002034,0.010333,,,False,pending
stock,2026-04-24,601138,工业富联,HOLD,1,,,,,0,5.0,AI服务器/精密制造,consumer_elec,candidate,★★☆,,,,多头排列; RSI偏高75,65.01,67.25,66.26,,,0.034456,0.019228,,,0.061221,-0.015536,0.000331,0.008592,,,0.034125,0.010635,,,False,pending
stock,2026-04-24,300476,胜宏科技,HOLD,1,,,,,0,5.0,PCB,pcb,candidate,★★☆,,,,站20/60线,315.59,317.4,333.87,,,0.005735,0.057923,,,0.08717,-0.036725,0.000331,0.008592,,,0.005404,0.049331,,,False,pending
