source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
stock,2026-05-06,000568,泸州老窖,SELL_STOP,-5,,,,,0,-3.62,高端白酒,food_bev,candidate,★★☆,,,,跌破60线; MACD死叉; RSI偏低35; MA60下行趋势(-0.8%/5日),98.33,99.05,96.91,92.7,,0.007322,-0.014441,-0.057256,,0.020543,-0.062138,0.004802,0.015327,0.024861,,0.00252,-0.029768,-0.082117,,True,pending
stock,2026-05-06,600031,三一重工,REDUCE,-2,,,,,0,3.35,工程机械,machinery,watch,★★☆,,,,跌破60线; 红柱扩张; 放量2.0x; MA60下行趋势(-1.0%/5日),20.91,20.98,21.84,21.39,,0.003348,0.044476,0.022956,,0.075084,-0.028694,0.004802,0.015327,0.024861,,-0.001454,0.02915,-0.001906,,False,pending
stock,2026-05-06,000858,五粮液,REDUCE,-2,,,,,0,-9.67,高端白酒,consumer,candidate,★★☆,,,,跌破60线; 绿柱扩张; RSI超卖13; MA60偏弱(-0.3%/5日),92.26,92.6,91.81,89.15,,0.003685,-0.004878,-0.033709,,0.017234,-0.048558,0.004802,0.015327,0.024861,,-0.001117,-0.020204,-0.05857,,True,pending
stock,2026-05-06,601888,中国中免,REDUCE,-2,,,,,0,-6.58,免税零售,consumer,candidate,★★☆,,,,跌破60线; RSI超卖24; MA60下行趋势(-2.9%/5日),63.03,63.05,62.69,61.38,,0.000317,-0.005394,-0.026178,,0.01063,-0.047279,0.004802,0.015327,0.024861,,-0.004485,-0.020721,-0.051039,,True,pending
stock,2026-05-06,603993,洛阳钼业,REDUCE,-2,,,,,0,1.13,铜/钴矿,commodity,core,★★★,,,,跌破60线; MACD金叉; MA60下行趋势(-2.1%/5日),19.48,19.86,20.01,20.99,,0.019507,0.027207,0.077515,,0.101129,-0.00308,0.004802,0.015327,0.024861,,0.014705,0.011881,0.052654,,False,pending
stock,2026-05-06,002028,思源电气,REDUCE,-2,,,,,0,-1.4,特高压/变电设备,power_equip,core,★★★,,,,跌破60线,206.0,206.68,196.16,207.2,,0.003301,-0.047767,0.005825,,0.025049,-0.064563,0.004802,0.015327,0.024861,,-0.001501,-0.063094,-0.019036,,True,pending
stock,2026-05-06,002714,牧原股份,REDUCE,-2,,,,,0,0.63,生猪养殖,agriculture,candidate,★★☆,,,,跌破60线; 红柱扩张; MA60偏弱(-0.3%/5日),44.64,44.07,44.32,42.38,,-0.012769,-0.007168,-0.050627,,0.010305,-0.052419,0.004802,0.015327,0.024861,,-0.017571,-0.022495,-0.075488,,True,pending
stock,2026-05-06,601318,中国平安,REDUCE,-2,,,,,0,1.75,保险/金融科技,finance,candidate,★★☆,,,,跌破60线; 红柱扩张; MA60偏弱(-0.8%/5日),59.36,60.04,60.1,58.04,,0.011456,0.012466,-0.022237,,0.029481,-0.042284,0.004802,0.015327,0.024861,,0.006653,-0.00286,-0.047098,,True,pending
stock,2026-05-06,600498,烽火通信,REDUCE,-2,,,,,0,-5.39,光通信设备,optics,candidate,★★☆,,,,跌破60线; 绿柱扩张; MA60上行(+1.8%/5日),48.59,51.82,58.61,60.82,,0.066475,0.206215,0.251698,,0.296357,-0.010496,0.004802,0.015327,0.024861,,0.061673,0.190889,0.226837,,True,pending
stock,2026-05-06,600879,航天电子,REDUCE,-2,,,,,0,5.01,军工电子/惯导,defense,candidate,★★☆,,,,红柱扩张; RSI偏高68; MA60下行趋势(-1.8%/5日),25.17,25.31,26.78,25.93,,0.005562,0.063965,0.030195,,0.086611,-0.044497,0.004802,0.015327,0.024861,,0.00076,0.048638,0.005334,,False,pending
stock,2026-05-06,600893,航发动力,REDUCE,-2,,,,,0,-4.65,航空发动机,defense,candidate,★★☆,,,,跌破60线; RSI偏低30; MA60偏弱(-0.3%/5日),46.84,48.33,50.5,51.38,,0.03181,0.078138,0.096926,,0.131512,-0.00427,0.004802,0.015327,0.024861,,0.027008,0.062812,0.072065,,True,pending
stock,2026-05-06,300274,阳光电源,REDUCE,-3,,,,,0,5.0,逆变器,new_energy,core,★★★,,,,跌破60线; 红柱扩张; MA60下行趋势(-1.3%/5日),140.53,138.815,143.355,142.65,,-0.012204,0.020102,0.015086,,0.039742,-0.044973,0.004802,0.015327,0.024861,,-0.017006,0.004776,-0.009775,,False,pending
stock,2026-05-06,601899,紫金矿业,REDUCE,-3,,,,,0,0.06,铜金矿,commodity,watch,★☆☆,,,,跌破60线; 放量1.5x; MA60下行趋势(-1.4%/5日),34.21,34.46,34.27,34.66,,0.007308,0.001754,0.013154,,0.032739,-0.020754,0.004802,0.015327,0.024861,,0.002506,-0.013573,-0.011707,,True,pending
stock,2026-05-06,600519,贵州茅台,REDUCE,-3,,,,,0,-3.95,高端白酒,consumer,core,★★★,,,,跌破60线; 绿柱扩张,1375.0,1371.05,1361.33,1344.09,,-0.002873,-0.009942,-0.02248,,0.009455,-0.02896,0.004802,0.015327,0.024861,,-0.007675,-0.025269,-0.047341,,True,pending
stock,2026-05-06,002865,钧达股份,REDUCE,-3,,,,,0,5.0,TOPCon光伏电池片,new_energy,watch,★☆☆,,,,跌破60线; 红柱扩张; MA60下行趋势(-2.2%/5日),81.87,87.75,106.18,101.5,,0.071821,0.296934,0.23977,,0.351289,0.011604,0.004802,0.015327,0.024861,,0.067019,0.281607,0.214909,,False,pending
stock,2026-05-06,600276,恒瑞医药,REDUCE,-4,,,,,0,-4.38,创新药,pharma,watch,★☆☆,,,,跌破60线; 绿柱扩张; MA60偏弱(-0.5%/5日),53.63,53.68,53.52,55.86,,0.000932,-0.002051,0.041581,,0.097707,-0.028156,0.004802,0.015327,0.024861,,-0.00387,-0.017378,0.01672,,True,pending
stock,2026-05-06,600438,通威股份,REDUCE,-4,,,,,0,0.4,光伏电池/硅料,new_energy,candidate,★★☆,,,,跌破60线; MA60下行趋势(-1.6%/5日),17.36,17.49,17.22,17.21,,0.007488,-0.008065,-0.008641,,0.029954,-0.038018,0.004802,0.015327,0.024861,,0.002686,-0.023391,-0.033502,,True,pending
stock,2026-05-06,601012,隆基绿能,REDUCE,-4,,,,,0,-3.81,光伏组件,new_energy,watch,★☆☆,,,,跌破60线; 绿柱扩张; RSI超卖22; MA60下行趋势(-1.0%/5日); 连跌8日,16.55,16.55,16.61,16.78,,0.0,0.003625,0.013897,,0.029607,-0.01994,0.004802,0.015327,0.024861,,-0.004802,-0.011701,-0.010964,,True,pending
stock,2026-05-06,300760,迈瑞医疗,REDUCE,-4,,,,,0,5.0,医疗器械,pharma,candidate,★★☆,,,,跌破60线; 红柱扩张; RSI偏高76; MA60下行趋势(-1.3%/5日),172.68,170.5,169.21,165.94,,-0.012625,-0.020095,-0.039032,,0.022469,-0.06625,0.004802,0.015327,0.024861,,-0.017427,-0.035422,-0.063893,,True,pending
stock,2026-05-06,300750,宁德时代,BUY_STRONG,6,,,,,6,5.0,动力电池,battery,core,★★★,,,,多头排列; MACD金叉; MA60上行(+2.3%/5日),460.0,451.64,446.11,434.05,,-0.018174,-0.030196,-0.056413,,0.019022,-0.071739,0.004802,0.015327,0.024861,,-0.022976,-0.045522,-0.081274,,True,pending
stock,2026-05-06,688521,芯原股份,BUY_STRONG,5,,,,,4,5.0,半导体IP/芯片设计平台,semicon,candidate,★★☆,,,,多头排列; 红柱扩张; 放量1.8x; MA60上行(+1.3%/5日),278.6,275.0,267.4,277.5,,-0.012922,-0.040201,-0.003948,,0.029433,-0.079325,0.004802,0.015327,0.024861,,-0.017724,-0.055528,-0.028809,,True,pending
stock,2026-05-06,605117,德业股份,BUY_STRONG,5,,,,,4,5.0,储能逆变器/户用储能,new_energy,candidate,★★☆,,,,多头排列; MACD金叉; MA60上行(+4.0%/5日),159.25,154.34,161.57,158.87,,-0.030832,0.014568,-0.002386,,0.033281,-0.064364,0.004802,0.015327,0.024861,,-0.035634,-0.000758,-0.027247,,True,pending
stock,2026-05-06,688041,海光信息,BUY_WATCH,4,,,,,4,5.0,国产CPU/GPU,semicon,core,★★★,,,,多头排列; 红柱扩张; RSI超买82; 放量1.9x; MA60上行(+0.9%/5日),344.41,341.6,349.18,348.19,,-0.008159,0.01385,0.010975,,0.041782,-0.070846,0.004802,0.015327,0.024861,,-0.012961,-0.001477,-0.013886,,True,pending
stock,2026-05-06,600487,亨通光电,BUY_WATCH,4,,,,,4,5.0,光纤光缆/海底电缆,optics,core,★★★,,,,多头排列; 红柱扩张; RSI偏高76; MA60上行(+6.8%/5日),71.8,75.96,74.99,75.43,,0.057939,0.044429,0.050557,,0.112813,0.0,0.004802,0.015327,0.024861,,0.053137,0.029102,0.025696,,False,pending
stock,2026-05-06,603259,药明康德,HOLD,3,,,,,0,4.57,CXO,pharma,watch,★☆☆,,,,多头排列; 红柱扩张; MA60上行(+1.0%/5日),109.0,111.28,108.72,108.92,,0.020917,-0.002569,-0.000734,,0.038165,-0.055046,0.004802,0.015327,0.024861,,0.016115,-0.017896,-0.025595,,True,pending
stock,2026-05-06,002475,立讯精密,HOLD,3,,,,,0,4.99,消费电子精密制造,consumer_elec,core,★★★,,,,站20/60线; MA60上行(+2.3%/5日),67.08,69.52,76.06,80.15,,0.036374,0.13387,0.194842,,0.219141,-0.011777,0.004802,0.015327,0.024861,,0.031572,0.118543,0.169981,,False,pending
stock,2026-05-06,600183,生益科技,HOLD,3,,,,,0,5.0,PCB基板/覆铜板,pcb,core,★★★,,,,多头排列; 红柱扩张; RSI超买82; MA60上行(+0.7%/5日),80.81,82.0,83.66,94.18,,0.014726,0.035268,0.16545,,0.243658,-0.010024,0.004802,0.015327,0.024861,,0.009924,0.019941,0.140589,,False,pending
stock,2026-05-06,002463,沪电股份,HOLD,3,,,,,0,5.0,高多层PCB,pcb,core,★★★,,,,多头排列; RSI偏高70; MA60上行(+3.2%/5日),104.79,107.38,108.68,112.58,,0.024716,0.037122,0.074339,,0.09228,-0.023666,0.004802,0.015327,0.024861,,0.019914,0.021795,0.049478,,False,pending
stock,2026-05-06,300476,胜宏科技,HOLD,3,,,,,0,5.0,PCB,pcb,candidate,★★☆,,,,多头排列; MA60上行(+1.7%/5日),325.92,338.06,378.24,387.4,,0.037248,0.16053,0.188635,,0.196613,0.012518,0.004802,0.015327,0.024861,,0.032446,0.145203,0.163774,,False,pending
