source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
tail,2026-05-01,159611,电力ETF,TAIL_2STAR,66.0,,2,,,,,,,,,False,今日跌-1.4%（轻度回调）; 回踩MA20支撑（偏离+0.7%）; MA60长期支撑附近（+0.8%）; RSI(6)=16（极度超卖）; MA60趋势向上（+0.57%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出1.54亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,159326,电网设备ETF,TAIL_2STAR,53.0,,2,,,,,,,,,False,今日跌-1.2%（轻度回调）; 回踩MA5支撑（偏离-1.1%）; RSI(6)=18（极度超卖）; MA60趋势向上（+0.85%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出2.89亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,515880,通信ETF,TAIL_1STAR,47.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-1.0%）; RSI(6)=16（极度超卖）; MA60趋势向上（+2.14%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出1.88亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,515450,红利低波50,TAIL_1STAR,46.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.8%）; MA60长期支撑附近（+0.9%）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,600036,招商银行,TAIL_1STAR,43.0,,1,,,,,,,,,False,跌破MA20下方（-2.9%，或超跌机会）; MA60长期支撑附近（-2.5%）; RSI(6)=11（极度超卖）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,主力今日净流出3.17亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,159567,港股创新药ETF,TAIL_1STAR,32.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-0.4%）; MA60长期支撑附近（-0.7%）; RSI(6)=36（偏低区间）; 触及近期支撑低点区域,MA60偏弱（-0.35%/5日），中期趋势存隐患; 主力今日净流出0.76亿，需观察,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-06,159567,港股创新药ETF,TAIL_2STAR,56.0,,2,,,,,,,,,False,今日跌-1.3%（轻度回调）; 回踩MA5支撑（偏离-1.2%）; MA60长期支撑附近（-1.9%）; RSI(6)=11（极度超卖）; 触及近期支撑低点区域,MA60偏弱（-0.40%/5日），中期趋势存隐患,market_panic=False,0.746,0.76,0.751,0.732,,0.018767,0.006702,-0.018767,,0.02815,-0.048257,0.004802,0.015327,0.024861,,0.013965,-0.008624,-0.043628,,,pending
tail,2026-05-06,600036,招商银行,TAIL_1STAR,47.0,,1,,,,,,,,,False,跌破MA20下方（-3.4%，或超跌机会）; MA60长期支撑附近（-3.2%）; RSI(6)=12（极度超卖）; 触及近期支撑低点区域,连续3日调整，注意是否止跌企稳,market_panic=False,38.0,37.95,37.97,37.88,,-0.001316,-0.000789,-0.003158,,0.004737,-0.007895,0.004802,0.015327,0.024861,,-0.006118,-0.016116,-0.028019,,,pending
tail,2026-05-06,515450,红利低波50,TAIL_1STAR,43.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.4%）; MA60长期支撑附近（+0.3%）; MA60温和上行（+0.22%/5日）; 触及近期支撑低点区域,,market_panic=False,1.436,1.431,1.437,1.432,,-0.003482,0.000696,-0.002786,,0.004875,-0.009053,0.004802,0.015327,0.024861,,-0.008284,-0.01463,-0.027647,,,pending
tail,2026-05-07,600036,招商银行,TAIL_2STAR,60.0,,2,,,,,,,,,False,回踩MA5支撑（偏离-1.3%）; MA60长期支撑附近（-3.3%）; RSI(6)=12（极度超卖）; 量能收缩0.7x（卖压减弱）; 触及近期支撑低点区域,连续4日调整，注意是否止跌企稳,market_panic=False,37.95,37.94,37.9,37.81,,-0.000264,-0.001318,-0.003689,,0.006061,-0.006588,-0.005836,0.009701,0.002875,,0.005573,-0.011019,-0.006564,,,pending
tail,2026-05-07,515450,红利低波50,TAIL_1STAR,35.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.2%）; MA60长期支撑附近（+0.1%）; 触及近期支撑低点区域,连续3日调整，注意是否止跌企稳,market_panic=False,1.431,1.429,1.437,1.43,,-0.001398,0.004193,-0.000699,,0.008386,-0.00559,-0.005836,0.009701,0.002875,,0.004439,-0.005508,-0.003574,,,pending
